,kpx_group_1,kpx_group_2,kpx_group_3
ldaps_ws10_pearson_all,0.7266,0.7366,0.7308
ldaps_ws10_pearson_eligible,0.5823,0.5906,0.5571
ldaps_wd10_pearson_all,0.4224,0.4012,0.3892
ldaps_wd10_pearson_eligible,0.2918,0.2727,0.2098
ldaps_t2_pearson_all,-0.3149,-0.2966,-0.2702
ldaps_t2_pearson_eligible,-0.2811,-0.2514,-0.1749
ldaps_r2_pearson_all,-0.0762,-0.0492,-0.0353
ldaps_r2_pearson_eligible,-0.0261,0.0037,0.0549
ldaps_sp_pearson_all,-0.2181,-0.2359,-0.2359
ldaps_sp_pearson_eligible,-0.1411,-0.1595,-0.1591
gfs_ws10_pearson_all,0.5847,0.5968,0.5881
gfs_ws10_pearson_eligible,0.4559,0.4591,0.4017
gfs_ws100_pearson_all,0.6007,0.615,0.6092
gfs_ws100_pearson_eligible,0.4515,0.4622,0.4163
gfs_t2_pearson_all,-0.3156,-0.2962,-0.2664
gfs_t2_pearson_eligible,-0.2766,-0.2458,-0.1695
gfs_r2_pearson_all,-0.1141,-0.0932,-0.0838
gfs_r2_pearson_eligible,-0.0833,-0.0559,-0.0029
gfs_sp_pearson_all,-0.0845,-0.1066,-0.1122
gfs_sp_pearson_eligible,-0.0227,-0.0494,-0.0694
gfs_gust_pearson_all,0.5687,0.588,0.5872
gfs_gust_pearson_eligible,0.4301,0.4523,0.417
gfs_tcc_pearson_all,-0.1802,-0.1549,-0.1471
gfs_tcc_pearson_eligible,-0.1903,-0.1458,-0.1053
speed_disagree_10m_pearson_all,0.5997,0.6043,0.6101
speed_disagree_10m_pearson_eligible,0.4378,0.4461,0.444
ldaps_ws10_cubed_pearson_all,0.5734,0.5783,0.5752
ldaps_ws10_spearman_all,0.751,0.7607,0.7736
