forecast_id,forecast_kst_dtm,kpx_group_1,kpx_group_2,kpx_group_3
forecast_0001,2025-01-01 01:00:00,19573.057877953775,18671.54247575273,17044.191006791716
forecast_0002,2025-01-01 02:00:00,19531.550119599146,18906.651999623515,17101.54959536602
forecast_0003,2025-01-01 03:00:00,19498.375172195785,18906.651999623515,17101.54959536602
forecast_0004,2025-01-01 04:00:00,18617.22436710718,18351.793906951396,16670.523069853625
forecast_0005,2025-01-01 05:00:00,18442.667167210544,18031.426875796045,16089.808259125442
forecast_0006,2025-01-01 06:00:00,18318.165213779757,17719.777093640037,15743.53824177478
forecast_0007,2025-01-01 07:00:00,17775.166719263947,17635.343025084614,15406.690763207556
forecast_0008,2025-01-01 08:00:00,17015.740487613744,17389.151926549017,14997.825025118755
forecast_0009,2025-01-01 09:00:00,15519.588889260822,16303.14225835852,13603.181213441634
forecast_0010,2025-01-01 10:00:00,15519.588889260822,16264.427221698488,13465.950405007854
forecast_0011,2025-01-01 11:00:00,15744.161107036492,16251.858948326499,13465.950405007854
forecast_0012,2025-01-01 12:00:00,15753.097722034043,16251.858948326499,13465.950405007854
forecast_0013,2025-01-01 13:00:00,15753.097722034043,15512.374647343164,12847.218583660706
forecast_0014,2025-01-01 14:00:00,15691.85948086579,15307.941009708811,12658.219963193733
forecast_0015,2025-01-01 15:00:00,14890.79534653814,14701.952520701401,12321.110343341414
forecast_0016,2025-01-01 16:00:00,14718.388814557196,14701.952520701401,12321.110343341414
forecast_0017,2025-01-01 17:00:00,14675.477341663182,14740.121872091308,12653.869950367061
forecast_0018,2025-01-01 18:00:00,14706.553202904888,14821.272659639413,12858.58238554356
forecast_0019,2025-01-01 19:00:00,14706.553202904888,16110.614668776934,13484.557589638414
forecast_0020,2025-01-01 20:00:00,16520.99645564176,17138.315104637975,14367.712570296337
forecast_0021,2025-01-01 21:00:00,16665.917512717588,17649.801630555645,14781.054554135948
forecast_0022,2025-01-01 22:00:00,16812.452982287414,17780.076911826527,15326.432766345646
forecast_0023,2025-01-01 23:00:00,16665.917512717588,17780.076911826527,15326.432766345646
forecast_0024,2025-01-02 00:00:00,16640.043565045624,17616.807820111284,15224.874475569584
forecast_0025,2025-01-02 01:00:00,13930.58720603599,16191.787696423393,11878.284679442397
forecast_0026,2025-01-02 02:00:00,13801.29431127386,15933.11441018977,11437.670038690572
forecast_0027,2025-01-02 03:00:00,12209.300836588222,14586.813532268552,9949.480978296391
forecast_0028,2025-01-02 04:00:00,10895.348553702148,13259.744957029938,8986.037780318125
forecast_0029,2025-01-02 05:00:00,9719.282407109793,12010.025434235595,7850.971902179046
forecast_0030,2025-01-02 06:00:00,8727.796213824287,10846.292795889913,7098.09578781805
forecast_0031,2025-01-02 07:00:00,8647.417153245568,9983.164248400477,6800.492126917448
forecast_0032,2025-01-02 08:00:00,8460.881210946254,9410.557771578298,6735.414003434501
forecast_0033,2025-01-02 09:00:00,7545.41526365487,8739.57073629117,5936.406093072617
forecast_0034,2025-01-02 10:00:00,6033.576799236305,7165.520098437914,4548.075776601362
forecast_0035,2025-01-02 11:00:00,4838.924062863854,5391.06510695661,3284.3469301158784
forecast_0036,2025-01-02 12:00:00,4802.713906386411,5009.078249802844,3006.7787634482315
forecast_0037,2025-01-02 13:00:00,4838.924062863854,4377.174593419871,3006.7787634482315
forecast_0038,2025-01-02 14:00:00,5250.339646030003,4377.174593419871,3365.0556487794775
forecast_0039,2025-01-02 15:00:00,6627.126444796291,5123.179004476808,3811.2953778441765
forecast_0040,2025-01-02 16:00:00,8918.580865098196,7262.423255043142,5797.901109981575
forecast_0041,2025-01-02 17:00:00,9932.943141899581,8789.056461688711,7501.919167260066
forecast_0042,2025-01-02 18:00:00,10509.256500753478,10045.765244834822,8670.186312629072
forecast_0043,2025-01-02 19:00:00,10734.108545753063,10445.975355089115,8740.063525305239
forecast_0044,2025-01-02 20:00:00,10774.686419873118,11291.839015530157,8915.572723537385
forecast_0045,2025-01-02 21:00:00,11181.862395411907,11955.338617995096,9495.257995317232
forecast_0046,2025-01-02 22:00:00,12334.997882776997,12631.775866980086,10508.985831288823
forecast_0047,2025-01-02 23:00:00,12334.997882776997,13372.86990788556,10990.015295109246
forecast_0048,2025-01-03 00:00:00,12307.709500735687,13721.455716963166,11103.33273930515
forecast_0049,2025-01-03 01:00:00,13056.57109267399,13759.152469053717,11273.89962333232
forecast_0050,2025-01-03 02:00:00,13110.804312011722,13979.557420982044,11355.409932272978
