forecast_id,forecast_kst_dtm,kpx_group_1,kpx_group_2,kpx_group_3
forecast_0001,2025-01-01 01:00:00,19592.539870489112,18671.54247575273,17044.191006791716
forecast_0002,2025-01-01 02:00:00,19551.032112134482,18906.651999623515,17101.54959536602
forecast_0003,2025-01-01 03:00:00,19517.857164731126,18906.651999623515,17101.54959536602
forecast_0004,2025-01-01 04:00:00,18636.706359642518,18351.793906951396,16670.523069853625
forecast_0005,2025-01-01 05:00:00,18462.149159745888,18031.42687579605,16089.808259125444
forecast_0006,2025-01-01 06:00:00,18337.64720631511,17719.777093640037,15743.538241774788
forecast_0007,2025-01-01 07:00:00,17786.87831821332,17635.343025084614,15406.69076320756
forecast_0008,2025-01-01 08:00:00,17014.9543866642,17389.151926549013,14997.82502511876
forecast_0009,2025-01-01 09:00:00,15494.180971339216,16303.142258358523,13603.18121344164
forecast_0010,2025-01-01 10:00:00,15494.180971339216,16264.427221698486,13465.950405007861
forecast_0011,2025-01-01 11:00:00,15722.448921585561,16251.858948326493,13465.950405007861
forecast_0012,2025-01-01 12:00:00,15731.532604366259,16251.858948326493,13465.950405007861
forecast_0013,2025-01-01 13:00:00,15731.532604366259,15512.37464734316,12847.218583660711
forecast_0014,2025-01-01 14:00:00,15669.286579783948,15307.941009708818,12658.219963193735
forecast_0015,2025-01-01 15:00:00,14865.87511788772,14701.952520701405,12321.110343341414
forecast_0016,2025-01-01 16:00:00,14694.28528885865,14701.952520701405,12321.110343341414
forecast_0017,2025-01-01 17:00:00,14651.577090899626,14740.121872091311,12653.869950367065
forecast_0018,2025-01-01 18:00:00,14682.505743405585,14821.272659639419,12858.582385543563
forecast_0019,2025-01-01 19:00:00,14682.505743405585,16110.614668776938,13484.557589638422
forecast_0020,2025-01-01 20:00:00,16512.068467856257,17138.31510463798,14367.712570296339
forecast_0021,2025-01-01 21:00:00,16659.374456877915,17649.801630555645,14781.054554135953
forecast_0022,2025-01-01 22:00:00,16808.32142640245,17780.076911826527,15326.43276634565
forecast_0023,2025-01-01 23:00:00,16659.374456877915,17780.076911826527,15326.43276634565
forecast_0024,2025-01-02 00:00:00,16633.07470769986,17616.807820111284,15224.874475569588
forecast_0025,2025-01-02 01:00:00,13910.21555691874,16191.787696423396,11878.2846794424
forecast_0026,2025-01-02 02:00:00,13781.535132505582,15933.114410189773,11437.670038690576
forecast_0027,2025-01-02 03:00:00,12199.53414768935,14586.813532268547,9949.480978296393
forecast_0028,2025-01-02 04:00:00,10894.26118331718,13259.744957029932,8986.037780318129
forecast_0029,2025-01-02 05:00:00,9725.963547661364,12010.025434235591,7850.971902179049
forecast_0030,2025-01-02 06:00:00,8738.751960816027,10846.292795889913,7098.095787818051
forecast_0031,2025-01-02 07:00:00,8657.897149516568,9983.164248400479,6800.49212691745
forecast_0032,2025-01-02 08:00:00,8470.257131001981,9410.557771578297,6735.4140034345055
forecast_0033,2025-01-02 09:00:00,7549.372688133584,8739.570736291169,5936.406093072619
forecast_0034,2025-01-02 10:00:00,6028.5858952088165,7165.520098437913,4548.075776601365
forecast_0035,2025-01-02 11:00:00,4820.906428198584,5391.065106956615,3284.346930115881
forecast_0036,2025-01-02 12:00:00,4784.763705809499,5009.078249802847,3006.778763448237
forecast_0037,2025-01-02 13:00:00,4820.906428198584,4377.174593419873,3006.778763448237
forecast_0038,2025-01-02 14:00:00,5231.55583310188,4377.174593419873,3365.055648779481
forecast_0039,2025-01-02 15:00:00,6625.648665575602,5123.179004476811,3811.295377844181
forecast_0040,2025-01-02 16:00:00,8930.5802465018,7262.423255043148,5797.90110998158
forecast_0041,2025-01-02 17:00:00,9938.212945376508,8789.05646168872,7501.919167260065
forecast_0042,2025-01-02 18:00:00,10510.719463395717,10045.765244834824,8670.186312629074
forecast_0043,2025-01-02 19:00:00,10734.086247063922,10445.975355089118,8740.063525305242
forecast_0044,2025-01-02 20:00:00,10774.396083829284,11291.839015530159,8915.572723537389
forecast_0045,2025-01-02 21:00:00,11178.882456382527,11955.338617995098,9495.257995317235
forecast_0046,2025-01-02 22:00:00,12324.400901397696,12631.775866980086,10508.985831288826
forecast_0047,2025-01-02 23:00:00,12324.400901397696,13372.869907885562,10990.015295109253
forecast_0048,2025-01-03 00:00:00,12297.292772903294,13721.455716963166,11103.332739305157
forecast_0049,2025-01-03 01:00:00,13040.339724853271,13759.152469053723,11273.899623332327
forecast_0050,2025-01-03 02:00:00,13094.316037275625,13979.557420982044,11355.409932272987
forecast_0051,2025-01-03 03:00:00,13108.733624720604,13979.557420982044,11385.580086652408
forecast_0052,2025-01-03 04:00:00,13311.404316957305,13731.964688389553,11636.379039934043
forecast_0053,2025-01-03 05:00:00,13311.404316957305,13589.274429723293,11636.379039934043
forecast_0054,2025-01-03 06:00:00,13306.947800971679,13207.683221399659,11408.832039571003
forecast_0055,2025-01-03 07:00:00,13208.48024066068,13069.949780291643,10840.773139886573
forecast_0056,2025-01-03 08:00:00,13208.48024066068,12982.556109655683,10840.773139886573
forecast_0057,2025-01-03 09:00:00,13208.48024066068,12982.556109655683,10840.773139886573
forecast_0058,2025-01-03 10:00:00,12738.005229460692,11699.228409600397,10223.13050235602
forecast_0059,2025-01-03 11:00:00,12738.005229460692,11459.184750026798,10071.33366949338
forecast_0060,2025-01-03 12:00:00,12873.149456887633,10479.367713006664,9215.789439050412
forecast_0061,2025-01-03 13:00:00,13079.00853581409,10479.367713006664,9215.789439050412
forecast_0062,2025-01-03 14:00:00,13279.791109287236,10661.101250783875,9332.272159363969
forecast_0063,2025-01-03 15:00:00,13595.60748962921,10885.358453057435,9383.357343253978
forecast_0064,2025-01-03 16:00:00,13595.60748962921,11048.585753698451,9383.357343253978
forecast_0065,2025-01-03 17:00:00,13338.039913876755,11048.585753698451,9383.357343253978
forecast_0066,2025-01-03 18:00:00,13158.92282256196,11244.56376195217,9714.956763179029
forecast_0067,2025-01-03 19:00:00,13158.92282256196,12053.21189625356,10376.379712293612
