forecast_id,forecast_kst_dtm,kpx_group_1,kpx_group_2,kpx_group_3
forecast_0001,2025-01-01 01:00:00,18626.050599610346,19052.72319582302,15654.519543553579
forecast_0002,2025-01-01 02:00:00,18641.85915486701,19072.522120915557,15654.675572044785
forecast_0003,2025-01-01 03:00:00,18641.85915486701,19072.522120915557,15654.363515062374
forecast_0004,2025-01-01 04:00:00,17834.77943407409,18846.07306751418,15428.476575076638
forecast_0005,2025-01-01 05:00:00,17834.77943407409,18715.795183848844,15336.387170569153
forecast_0006,2025-01-01 06:00:00,17706.961470983162,18524.262238106552,14679.546146515055
forecast_0007,2025-01-01 07:00:00,17369.17814014382,18503.782718617505,14510.237162612802
forecast_0008,2025-01-01 08:00:00,16997.006826888974,18359.15325063953,13578.58708012696
forecast_0009,2025-01-01 09:00:00,15133.126101791226,17169.83888390981,12073.074675565422
forecast_0010,2025-01-01 10:00:00,15133.126101791226,17028.477621816255,11835.049343234417
forecast_0011,2025-01-01 11:00:00,15187.037533630888,17028.477621816255,11835.049343234417
forecast_0012,2025-01-01 12:00:00,15372.374828748094,17028.477621816255,11605.474973193199
forecast_0013,2025-01-01 13:00:00,15372.374828748094,15905.593111400894,11321.23393850193
forecast_0014,2025-01-01 14:00:00,15209.606217978228,15613.89841266021,11116.986358681179
forecast_0015,2025-01-01 15:00:00,14739.048911963393,15104.855992611136,10625.464426809049
forecast_0016,2025-01-01 16:00:00,14604.51594161168,15104.855992611136,10625.464426809049
forecast_0017,2025-01-01 17:00:00,14527.593572663802,15116.496034307398,10855.255232170959
forecast_0018,2025-01-01 18:00:00,14604.51594161168,15211.08995719532,11211.770124866263
forecast_0019,2025-01-01 19:00:00,14679.648720290295,16572.553463122782,11571.067947044821
forecast_0020,2025-01-01 20:00:00,16215.645686305872,17716.59000468138,12285.983325867763
forecast_0021,2025-01-01 21:00:00,16215.645686305872,18042.468137963144,12798.685490151796
